gratis	adj:free|adv:free
bancario	n:banker|adj:related to banks
dominica	n:Dominica
eritrea	n:Eritrea
georgia	n:Georgia
guinea	n:Guinea
baby	n:baby
yes	?:yes
stand	n:stand
yeti	n:yeti
touring	n:touring car
radar	n:radar
ddt	n:DDT
macedonia	n:Macedonia
president	n:president of Catalonia
presidente	n:president
dna	n:DNA
hueso	n:bone
generar	v:to generate
crear	v:to create
panista	adj:of PAN
chihuahuense	adj:of
kill	n:a kill
after	n:after-party
stylus	n:stylus
dar	v:to give
banana	n:banana
tigre	n:tiger
henna	n:henna
mental	adj:mental
cherry	n:cherry tomato
green	n:green
grey	n:flock
magenta	n:magenta|adj:magenta
red	n:web
diccionario	n:dictionary
tuba	n:tuba
tempo	n:tempo
musical	n:musical|adj:musical
cast	n:cast
mouse	n:mouse
router	n:router
dual	adj:dual
perpendicular	adj:perpendicular
pi	n:pi
sol	n:sun
humor	n:mood
tick	n:check mark
animal	n:animal|adj:animal
unicode	n:Unicode
alpaca	n:alpaca
transcultural	adj:transcultural
yak	n:yak
lama	n:slime
llama	n:flame
guanaco	n:Salvadoran|adj:Salvadoran
koala	n:koala
wiki	n:wiki
boomerang	n:boomerang
abandonar	v:to abandon
abandono	n:abandonment
bongo	n:bongo
impala	n:impala
boy	n:a male stripper
irregular	adj:irregular
regular	v:to put in order|adj:regular
kiwi	n:kiwi
yanqui	n:Yankee|adj:Yankee
estadounidense	n:American|adj:American
mikado	n:mikado
quebec	n:Quebec
as	n:an ace
amontillado	n:amontillado
boom	n:a boom
mundo	n:world
right	n:right fielder
brother	n:bro
son	n:tone
pariente	n:relative
non	adj:odd
car	?:because
hot	adj:hot
cool	adj:cool
iceberg	n:iceberg
finger	n:finger
habitable	adj:habitable
habitual	n:beans|adj:habitual
hacienda	n:ranch
anterior	adj:anterior (in time)
crew	n:crew
chocolate	n:chocolate
kerosene	n:kerosene
navy	n:navy
tan	adv:so|?:such
sombrero	n:hat
tamale	n:tamale
pupa	n:pupa
hobby	n:hobby
coral	n:coral|adj:coral
mosquito	n:mosquito
civil	adj:civil
sepia	n:cuttlefish
diesel	n:diesel
avocado	n:avocado
guacamole	n:guacamole
tortilla	n:Spanish omelette
carne	n:flesh
salsa	n:sauce
marina	n:navy
lupus	n:lupus
plaza	n:plaza
safari	n:safari
dub	n:dub
del	?:of the
god	adj:fire
wa	n:WhatsApp|?:wow
victoria	n:Victoria
abuela	n:grandmother
abuelo	n:grandfather
barato	adj:cheap
bosque	n:forest
beso	n:kiss
ajo	n:garlic
aceite	n:oil
friend	n:cam
novia	n:a type of sweet roll
novio	n:boyfriend
familia	n:family
gripe	n:flu
grito	n:a cry
grupo	n:group
voz	n:voice
ventana	n:window
bat	n:bat
ci	n:IQ
so	prep:under|?:you
touch	adj:touch
ca	n:AC or alternating current|?:because
bel	n:bel|adj:synonym of bello
ok	adj:OK|?:OK
sd	n:determiner phrase
amazonas	n:Amazon
acre	n:English or American acre|adj:bitter
alagoas	n:Alagoas
sergipe	n:Sergipe
paraná	n:Paraná
-able	?:-able
ver	v:to see
oral	adj:oral
look	n:a look
graffiti	n:graffiti
granada	n:pomegranate
gracias	n:thanks|?:thank you
gracia	n:grace
plata	n:silver|adj:argent
burro	n:donkey|adj:stupid
capital	n:capital|adj:capital
we	n:dude
he	n:he|adv:here is
me	?:me
nose	?:short for no sé
mariposa	n:butterfly
mariquita	n:queer
pico	n:beak
pizza	n:pizza
molar	n:molar|v:to rule|adj:molar
alberta	n:Alberta
saskatchewan	n:Saskatchewan
manitoba	n:Manitoba
ontario	n:Ontario
pants	n:tracksuit
re	n:re|adv:very
magia	n:magic
loco	n:a crazy person|adj:crazy
lampa	n:hoe
haryana	n:Haryana
bihar	n:Bihar
assam	n:Assam
kerala	n:Kerala
karnataka	n:Karnataka
goa	n:Goa
gujarat	n:Gujarat
juramento	n:an oath
justicia	n:justice
juez	n:judge
juzgado	n:judicate (e.g.
juramentado	n:one bound by an oath|adj:sworn
moro	n:a Moor
matador	n:a slaughterer
matadero	n:slaughterhouse
matanza	n:kill
seguidilla	n:series
remontado	n:Re-mounted
remonta	n:a re-mount
elegantemente	adv:elegantly
sangría	n:bloodletting
piñata	n:piñata
brisbane	n:Brisbane
perth	n:Perth
edmonton	n:Edmonton
toronto	n:Toronto
pato	n:duck
pata	n:paw
ottawa	n:Ottawa
humo	n:smoke
huevo	n:egg
huevos	n:guts
torta	n:tart
sale	?:ok
zoom	n:zoom
salvador	n:a male given name
curitiba	n:Curitiba
recife	n:Recife
natal	adj:natal
brasilia	n:Brasília (a municipality
do	n:do|adv:where|?:where
chat	n:chat
saya	n:skirt
español	n:Spaniard|adj:Spanish
simba	n:Simba|adj:Simba
viña	n:vineyard
día	n:day
hyderabad	n:Hyderabad
hard	adj:hard
pollo	n:chicken|adj:inexperienced
gallo	n:rooster
leche	n:milk|?:shit
helado	n:ice cream|adj:icy
computadora	n:computer
conejo	n:rabbit
teléfono	n:pothos
luz	n:light
mapa	n:map
pupitre	n:a student desk
escritorio	n:writing desk
reloj	n:clock
rata	n:rat|adj:stingy
rato	n:a while
ratoncito	n:a little mouse
rápidamente	adv:rapidly
bangalore	n:Bengaluru
trivandrum	n:Thiruvananthapuram
bombay	n:Mumbai
georgetown	n:Georgetown
nada	n:nothingness|adv:not at all|?:nothing
negociante	n:shopkeeper
macadam	n:macadam
dodo	n:dodo
liberal	n:liberal|adj:liberal
down	adj:down
mama	n:mamma
pin	n:pin
vocal	n:vowel|adj:by means of the voice
larva	n:larva|adj:freeloading
maid	n:maid
vapor	n:steam
copyright	n:copyright
bet	n:beth
break	n:break
feed	n:feed
fit	adj:fit
tundra	n:tundra
go	n:go
hit	n:hit
hold	n:hold
input	n:input
led	n:LED
light	adj:light
cliché	n:cliché
mal	n:evil|adj:amiss|adv:badly
sic	adv:sic
zas	n:smack|?:bang!
tractor	n:tractor|adj:driving
canal	n:canal
conductor	n:driver
legal	adj:legal
legible	adj:legible
reactor	n:jet engine
criminal	n:criminal|adj:criminal
actor	n:actor
factor	n:factor
cable	n:cable
funeral	n:funeral|adj:funerary
interior	n:interior|adj:inner
exterior	n:outside|adj:external
central	n:headquarter|adj:central
ideal	n:ideal|adj:ideal
bug	n:bug
when	?:when
claque	n:claque
verbal	n:verbal|adj:verbal
pronominal	adj:pronominal
sin	prep:without
chin	n:small amount
simple	n:simpleton|adj:simple
chance	n:chance|?:maybe
cruel	adj:cruel
bridge	n:bridge
pay	n:pie
put	n:papaya
remake	n:remake
reset	n:reset
ring	n:ring
parasol	n:parasol
run	n:armadillo
set	n:set
shake	n:shake
candor	n:candor
incontrovertible	adj:undisputable
shot	n:shot
show	n:show
spin	n:spin
split	n:splits
strike	n:strike
swing	n:swing
tell	n:tell
won	n:won
era	n:era
limo	n:mud
round	n:round
bi	adj:bi
crush	n:crush
box	n:pit
cloud	n:cloud
anchor	n:width
balance	n:balance
cake	n:cake
base	n:base
cover	n:cover
collar	n:necklace
control	n:control
basis	n:basis
vero	n:vair|adj:true
vermú	n:vermouth
ice	n:Institute of Space Sciences
kanji	n:kanji
bol	n:bowl
piano	n:piano
crisis	n:crisis
albero	n:arena|adj:white
rumor	n:rumor
ibex	n:ibex
mole	n:hunk|adj:soft
bien	n:good|adj:well-to-do|adv:well
goggles	n:swimming goggles
et	n:ampersand
ir	v:to be going to
short	n:shorts
living	n:living room
plasma	n:plasma
house	n:house music
hospital	n:hospital
doctor	n:doctor
metal	n:metal
heavy	adj:heavy
play	n:play
flow	n:flow
full	n:full house
vacuum	n:vacuum
wow	?:wow
snow	n:snowboarding
meter	v:to do drugs
pos	n:only used in en pos de|prep:after|?:synonym of pues
sal	n:salt
bosnia-herzegovina	n:Bosnia and Herzegovina
e	?:and
mana	n:female equivalent of mano
horizontal	adj:horizontal
sorry	?:sorry
vertical	n:handstand|adj:vertical
barón	n:baron
bushido	n:bushido
tanto	n:copy|adv:so much|?:so much
san	n:financial|adj:Saint
rin	n:rim
bo	?:hey
chingón	n:an intelligent|adj:intelligent
display	n:display
q	?:that
u	n:Name of the letter U|?:or
still	n:still
ano	n:anus
stop	?:stop
ese	?:that
torque	n:torque
shock	n:shock
pinyin	n:Pinyin
colt	n:Colt
impersonal	adj:impersonal
flash	n:flash
blower	n:hair dryer
celestial	adj:celestial
potable	adj:potable
peer	v:to break wind
domain	n:domain
virrey	n:viceroy
workshop	n:workshop
teen	adj:teen
waffle	n:waffle
anime	n:anime
manga	n:sleeve
sensei	n:sensei
dojo	n:dojo
ceo	n:CEO
party	n:party
mayor	n:major|adj:bigger
pub	n:pub
metrosexual	n:metrosexual|adj:metrosexual
sábado	n:Saturday
squash	n:squash
gourmet	adj:gourmet
grooming	n:grooming
lifting	n:lifting
hallux	n:hallux
milton	n:a male given name
password	n:password
homosexual	n:homosexual|adj:homosexual
sake	n:sake
errata	n:erratum
outlet	n:outlet store
instrumental	adj:instrumental
pipe	n:brother
domingo	n:Sunday
invariable	adj:invariable
palpable	adj:palpable
drag	n:drag
magnesia	n:magnesia
crema	n:cream|adj:cream
artificial	adj:artificial
naam	n:naan
latino	n:a Latino|adj:of Lazio
kuzu	n:kudzu
astral	adj:astral
cardinal	adj:cardinal
pellet	n:pellet
game	n:game
original	adj:original
paper	n:paper
permeable	adj:permeable
hardware	n:hardware
rifle	n:rifle
queer	adj:queer
las	?:them
parlament	n:parliament of Catalonia
gratuito	adj:free
nazi	n:Nazi|adj:Nazi
ruin	adj:contemptible
host	n:host
ordinal	adj:ordinal
hey	?:hey!
output	n:output
oh	?:oh
ah	?:ah
cuerpo	n:body
corazón	n:heart
sangre	n:blood
ni	n:nu|adv:not even|?:neither... nor
jaguar	n:jaguar
tres	n:three
un	n:apocopic form of uno|?:an
uno	n:one|?:one
sept	n:September
nsdap	n:NSDAP
cd	n:CD
pet	n:PET
ecg	n:electrocardiogram
ping	n:ping
kimono	n:kimono
ta	?:okay
eclipse	n:eclipse
millón	n:million
árbol	n:tree
flor	n:flower
floro	n:lie
música	n:music
libro	n:book
cor	n:heart
miel	n:honey
beta	n:beta
gamma	n:gamma
con	prep:with
conmigo	adv:with me
contigo	adv:with you
test	n:test
delta	n:Greek letter delta
zeta	n:the letter Z
natural	n:a native|adj:natural
lunar	n:birthmark|adj:lunar
paris	n:Paris
idea	n:idea
eta	n:eta
theta	n:theta
iota	n:iota
madrid	n:Madrid
talo	n:stem
casa	n:house
maison	n:fashion house
linear	v:to line|adj:linear
line	n:lineout
jueves	n:Thursday
okapi	n:okapi
nfl	n:NFL
kappa	n:kappa
once	n:eleven
bicicleta	n:bicycle
mela	n:smitt
manzana	n:apple
pesca	n:fishing
uva	n:grape
tulipán	n:tulip
café	n:coffee|adj:brown
lambda	n:lambda
mu	?:moo
california	n:California
fuel	n:fuel oil
subway	n:subway
sm	n:his/her majesty
calle	n:street
kilo	n:kilo
xi	n:xi
premier	n:premier
wok	n:wok
echo	n:throw
sonar	n:sonar|v:to make sound
cesta	n:basket
zinc	n:zinc
fe	n:faith
radium	n:radium
pronunciación	n:pronunciation
acceder	v:to back down
bus	n:bus
kayak	n:kayak
sexual	adj:sexual
si	?:if
ti	?:prepositional of tú
co	n:dude
acción	n:action|?:action
universal	adj:universal
escudo	n:shield
terminal	n:terminal|adj:final
intermodal	adj:intermodal
viajar	v:to travel
arcadia	n:Arcadia
la	n:la|?:accusative of ella
po	?:emphatic
error	n:error
democracia	n:democracy
pis	n:pee
tu	?:apocopic form of tuyo
argentine	n:Argentinian
info	n:info
información	n:information
lcd	n:LCD
rho	n:rho
milkshake	n:milkshake
nike	n:Nike
jet	n:jet
omega	n:omega
baba	n:drool
roadster	n:roadster
tile	n:soot|adj:hard
real	n:true friend|adj:real|?:true
online	adj:online
monopoly	n:Monopoly
individual	n:place mat|adj:individual
kosher	adj:kosher
labor	n:labor
semiconductor	n:semiconductor|adj:semiconducting
resistor	n:resistor
lava	n:lava
laurel	n:laurel
halal	adj:halal
acusar	v:to show
pop	n:pop|adj:pop
budapest	n:Budapest
mozzarella	n:mozzarella
secular	adj:secular
eternal	adj:eternal
supernatural	adj:synonym of sobrenatural
slash	n:slash
rock	n:rock
muse	v:only used in se muse
crash	n:crash
cash	n:cash
acusado	n:accused|adj:accused
lunch	n:lunch
ea	?:come on!
toro	n:bull
mini	adj:mini
micro	n:minibus
staff	n:staff
multi	n:multinational
multicolor	adj:varicolored (US)
vodka	n:vodka
net	n:net
multicultural	adj:multicultural
daniel	n:Daniel
ship	n:ship
visa	n:visa
amargura	n:acerbity
mercurial	adj:mercurial
bicultural	adj:bicultural
acreditación	n:accreditation
mate	n:mate|adj:matte
banal	adj:banal
center	n:center
acreditar	v:to accredit
binomial	adj:binomial
mies	n:cereal seed|v:standard form is mees
mail	n:email
bagel	n:bagel
testa	n:head
acetileno	n:acetylene
punch	n:punch (drink)
venal	adj:venous
vector	n:vector
accra	n:Accra
bali	n:Bali
bangkok	n:Bangkok
barcelona	n:Barcelona
belfast	n:Belfast
cairo	n:Cairo
caracas	n:Caracas
florida	n:Florida
bar	n:bar
guernsey	n:Guernsey
rectangular	adj:rectangular
negro	n:black|adj:black
share	n:share of the audience
zoo	n:zoo
execrable	adj:execrable
java	n:Java
kabul	n:Kabul
kiev	n:Kyiv
lhasa	n:Lhasa
tomate	n:tomato
temple	n:mood
liguria	n:Liguria
liverpool	n:Liverpool
lusaka	n:Lusaka
mantua	n:a town in Pinar del Río
montevideo	n:Montevideo
nairobi	n:Nairobi
pun	n:the sound of flatulence
nice	adj:nice
nicosia	n:Nicosia
oslo	n:Oslo
padua	n:Padua
palermo	n:Palermo|adj:of
pisa	n:tread
quito	n:Quito|adj:exempt
siberia	n:Siberia
surinam	n:Suriname
cola	n:tail
feta	n:Feta cheese
nuclear	v:to join up|adj:nuclear
tap	n:tap
tarragona	n:Tarragona
tirana	n:Tirana (a municipality
tobago	n:Tobago
trinidad	n:Trinidad
valencia	n:Valencia
vancouver	n:Vancouver
verona	n:Verona (a city
virginia	n:Virginia
wellington	n:Wellington
zagreb	n:Zagreb
vid	n:vine
oveja	n:sheep
destino	n:destiny
nadie	?:no one
alguien	?:someone
creer	v:to think
popcorn	n:popcorn
palomita	n:popcorn
sigma	n:sigma
tau	n:tau
chi	prep:synonym of sí
psi	n:psi
fan	n:fan
apulia	n:Apulia
calabria	n:Calabria
campania	n:Campania
ola	n:wave
benevento	n:Benevento
brescia	n:Brescia
cagliari	n:Cagliari
como	n:Como (a city and comune|adv:as|prep:as
cosenza	n:Cosenza
lecco	n:Lecco
livorno	n:Livorno
pole	n:pole position
hockey	n:hockey
salerno	n:Salerno
siena	n:Siena (a city and comune
trieste	n:Trieste
hamburger	n:hamburger
candela	n:candle
kelvin	n:kelvin
coulomb	n:coulomb
joule	n:joule
lumen	n:lumen
hertz	n:hertz
lux	n:lux
newton	n:newton
pascal	n:pascal
lesbos	n:Lesbos
score	n:score
watt	n:watt
weber	n:weber
forte	n:forte|adj:forte|adv:forte
atto-	?:atto-
centi-	?:centi-
deca-	?:deca-
deci-	?:deci-
exa-	?:exa-
femto-	?:femto-
giga-	?:giga-
hecto-	?:hecto-
nano-	?:nano-
peta-	?:peta-
tera-	?:tera-
sí	n:yes|prep:yes|?:prepositional form of se
formosa	n:Taiwan
flux	n:flush
spam	n:spam
in-	?:not
im-	?:a form of the prefix in-
tuberculosis	n:tuberculosis
banjo	n:banjo
perfume	n:perfume
gym	n:gym
check	n:check
judo	n:judo
soju	n:soju
altar	n:altar
cheque	n:cheque|adv:well
namur	n:Namur
invisible	adj:invisible
visible	adj:visible
brillar	v:to shine
los	?:the
promo	n:promo
estado	n:country
ido	n:Ido|adj:away with the fairies
ser	n:a being|v:to be
alexander	n:a male given name
cerebral	adj:cerebral
manual	n:manual|adj:manual
collage	n:collage
axis	n:axis
tuna	n:prickly pear
penumbra	n:half-light
panacea	n:panacea
jersey	n:sweater
turku	n:Turku (a municipality
panda	n:gang
miasma	n:miasma
loft	n:loft
hesse	n:Hesse
soltar	v:to give
cent	n:cent
wasabi	n:wasabi
cuerno	n:horn
labia	n:gift of the gab
flamingo	n:flamingo
python	n:Python
cobra	n:cobra
liar	v:to french
brioche	n:brioche
ordenador	n:computer
computador	n:computer
atlas	n:atlas
zeus	n:Zeus
ox	?:shoo
festival	n:festival
agua	n:water
demo	n:demo
plan	n:plan
té	n:tea
tea	n:intoxication
alopecia	n:alopecia
drama	n:drama (genre in art
bracket	n:braces
management	n:management
video	n:video rental shop
virtual	adj:virtual
retail	n:retail
propaganda	n:propaganda
random	n:random person|adj:random
cocoa	n:cocoa
don	n:sir
papa	n:pope
maní	n:peanut
cacahuate	n:peanut
allí	adv:there
allá	adv:there
aquí	adv:here
acá	adj:high quality|adv:here
ahí	adv:that
hermanos	n:brothers, siblings
hernia	n:hernia|v:only used in se hernia
achiote	n:achiote
petrel	n:petrel
trust	n:trust
chisinau	n:Chișinău
caucus	n:caucus
adsl	n:ADSL
patata	n:potato
pope	n:pope
saber	n:knowledge|v:to be known
conocer	v:to get to know
pare	n:stop
souvenir	n:souvenir
mote	n:nickname
slip	n:male briefs
peculiar	adj:peculiar
arrogante	adj:arrogant
ex	n:ex|adj:former
barranca	n:canyon
utrecht	n:Utrecht
lore	n:lore
skater	n:skater
turf	n:turf
pool	n:pool
kitsch	n:kitsch|adj:kitschy
nude	n:nude
lexical	adj:lexical
sumo	n:sumo|adj:highest
lounge	n:lounge
otoño	n:autumn
caer	v:to be granted
primavera	n:spring
secreto	n:a secret|adj:secret
millennial	n:millennial
curio	n:curium
ángel	n:angel
ros	n:a type of military hat
rosa	n:rose|adj:pink
coyote	n:coyote
ska	n:ska
pudding	n:pudding
italiano	n:an Italian|adj:Italian
timbre	n:bell
lumbar	adj:lumbar
dari	n:Dari
corpus	n:corpus
local	n:premises|adj:local
mango	n:handle
curry	n:curry
nebulosa	n:nebula
diagnosis	n:diagnosis
oasis	n:oasis
poeta	n:poet
torso	n:torso
debate	n:debate
bestia	n:beast|adj:brutal
homo	adj:homo
hippie	n:hippie
vendo	n:Wendish
venus	n:Venus
virgo	n:Virgo|adj:virgin
veto	n:veto
vespa	n:Vespa
lupa	n:magnifying glass
alce	n:elk (UK)
hecatombe	n:slaughter
lento	adj:slow
leo	n:Leo|adj:Leo
libra	n:libra
anaconda	n:anaconda
anal	n:An act of anal sex.|adj:anal
zona	n:zone
top	n:top|adj:top
etimología	n:etymology
libido	n:libido
mano	n:hand
placebo	n:placebo
siete	n:seven
persia	n:Persia
lady	n:lady
dibujo	n:drawing
rob	n:fruit syrup
pugna	n:fight
nerd	n:nerd
draft	n:draft
final	n:end|adj:final
semifinal	n:semifinal
semi	n:semifinal
corporal	n:corporal|adj:body
inevitable	adj:inevitable
ny	n:nu
similar	adj:similar
auto	n:car
beber	v:to drink
auto-	?:auto-
poner	v:to get
saloon	n:saloon
él	?:he
fuga	n:escape
arma	n:weapon
lid	n:lawsuit
lagarto	n:lizard
cocodrilo	n:crocodile
speaker	n:speaker
canon	n:canon (principle
topo	n:mole
cabra	n:female goat
chupacabras	n:chupacabras
chupar	v:to put up with
tubular	adj:tubular
tender	v:to make
mexicano	n:Mexican|adj:Mexican
vos	?:you
marine	n:marine
nos	?:to us, for us
canvas	n:canvas
salud	n:health|?:bless you
cinco	n:five
rana	n:frog
verme	n:worm
hacer	n:task|v:to be
gdansk	n:Gdańsk
azores	n:the Azores
oporto	n:Porto
crack	n:crack cocaine
cantar	v:to sing
comprar	v:to buy
comer	n:eating|v:to have lunch
dormir	v:to put to sleep
cansado	adj:tired
correr	n:course|v:to have an orgasm
caber	v:to be acceptable
pea	n:drunkenness
ticket	n:receipt
token	n:token
diagonal	n:diagonal|adj:diagonal
sauce	n:willow
hola	?:hello
leer	v:to read
gel	n:gel
jam	n:jam
dandy	n:dandy
portal	n:portal|adj:portal
hai	v:you have
rebaja	n:sale
pero	n:but|?:but
partir	v:to go away
pedir	v:to call
querer	n:love|v:would you ... ?
ter	n:fast train|adv:three times
vender	v:to sell
corda	n:rope
pluma	n:feather
luna	n:moon
zoo-	?:zoo-
lago	n:lake
largo	n:length|adj:long|?:get out!
trap	n:trap
dea	n:goddess
historia	n:history
natura	n:nature
bucarest	n:Bucharest
cambridge	n:Cambridge
douglas	n:Douglas
soul	n:soul
alma	n:soul
espíritu	n:spirit
santo	n:male saint|adj:holy
santa	n:saintess|adj:Saint (title)
tape	n:Scotch tape
barn	n:barn
mongol	n:Mongol
out	n:out
fairy	n:washing-up liquid
nalga	n:buttock
lira	n:lyre
abolir	v:to abolish
africano	adj:African
actual	n:of the current month|adj:present
adaptable	adj:adaptable
gris	n:grey / gray|adj:grey / gray
spot	n:advert
phishing	n:phishing
pera	n:pear
intro	n:intro
calcio	n:calcium
escape	n:escape
elefante	n:elephant
famoso	n:celebrity|adj:well-known
admirable	adj:admirable
marzo	n:March
mezzo	n:mezzo
más	adv:more|?:more
librería	n:bookshop
biblioteca	n:library
moderno	adj:modern
heterosexual	n:heterosexual|adj:heterosexual
nel	adv:no
nuca	n:nape
affair	n:affair
afore	v:(“to gauge, to measure”):
ordinario	adj:ordinary
oca	n:goose
comparable	adj:comparable
raro	adj:rare
remo	n:oar
ritmo	n:rhythm
risotto	n:risotto
tapioca	n:tapioca
yucatán	n:a state of Mexico
hangar	n:hangar
tangible	adj:tangible
materialismo	n:materialism
canadá	n:Canada
deluxe	adj:synonym of de lujo
agenda	n:agenda
ago	n:August
presto	adj:quick|adv:immediately
ale	n:ale
alias	n:alias|adv:also known as
lobo	n:wolf
chip	n:chip
superficial	adj:superficial
dial	n:dial|adj:day
teresa	n:a female given name
amateur	adj:amateurish
blog	n:blog
chamorro	n:a surname
pedo	n:fart (in some places|adj:drunk
snack	n:snack
croc	n:croc
cursor	n:cursor
tilde	n:accent mark
buffet	n:buffet
influenza	n:influenza
rival	n:rival|adj:rival
sketch	n:skit
apa	n:only used in al apa
gene	n:gene
peluche	n:plush
materia	n:matter
variable	n:variable|adj:variable
vela	n:candle
araña	n:spider
pidgin	n:pidgin
rusia	n:Russia
cinta	n:ribbon
dan	n:dan
gila	n:female equivalent of gil
ruanda	n:Rwanda
flamenco	n:Fleming|adj:Flemish
ancestral	adj:ancestral
anglo	n:Angle|adj:Anglian
teenager	n:teenager
angular	adj:angular
ante	n:elk|prep:in front of
anyway	adv:anyway
fraternal	adj:fraternal
niche	n:low-class
ornamental	adj:ornamental
step	n:step training
constitución	n:constitution
sano	adj:healthy
cornucopia	n:cornucopia
tri-	?:tri-
cpu	n:CPU
gps	n:GPS
unesco	n:UNESCO
usb	n:USB
gulag	n:gulag
inning	n:inning
softball	n:softball
giga	n:jig
411	n:411
kilo-	?:kilo-
mega-	?:mega-
micro-	?:micro-
hotel	n:hotel
hostel	n:hostel
pico-	?:pico-
noruego	n:a Norwegian|adj:Norwegian
bi-	?:bi-
bisexual	n:bisexual|adj:bisexual
septum	n:septum
alumna	n:female student
naval	adj:naval
episcopal	adj:episcopal
imperial	n:a department of Chile|adj:imperial
anda	n:a bier or small platform|?:come on
baca	n:luggage rack
semilunar	adj:semilunar
datar	v:to date
andar	n:walk|v:to be
meme	n:meme
bob	n:bob
ante-	?:ante-
anti-	?:anti-
caviar	n:caviar
uni	n:university
serial	n:series|adj:serial
-ona	?:-one
vento	n:money
vera	n:side
vitamina	n:vitamin
gravy	n:gravy
surreal	adj:surreal
rna	n:RNA
lsd	n:LSD
bratislava	n:Bratislava
ibón	n:small lake
hemi-	?:hemi-
semi-	?:semi-
mono-	?:mono-
uni-	?:uni-
duo-	?:duo-
tetra-	?:tetra-
multi-	?:multi-
cacao	n:cacao tree
canguro	n:kangaroo
caro	n:Carus|adj:dear|adv:costly
carta	n:letter
punto	n:point|?:period
dos	n:two
coma	n:comma
escritor	n:writer
ensayo	n:essay
minúscula	n:minuscule
mayúscula	n:capital letter
níquel	n:nickel
mayúsculo	adj:upper case
minúsculo	adj:minute
coda	n:coda
single	n:single
tema	n:theme
notable	adj:remarkable
arcade	n:amusement arcade
capacitor	n:capacitor
tele-	?:tele-
andro-	?:andro-
