's	?:ин
absorbent	?:абсорби́рующий
absorber	?:абсо́рбер
absorbing	?:увлека́тельный
absorption	?:абсо́рбция
abstain	?:возде́рживаться
abstemious	?:возде́ржанный
abstention	?:возде́ржанность
abstinence	?:абстине́нция
abstract	?:абстрактный
abstraction	?:абстракция
abstractionism	?:абстракционизм
abstruse	?:мудрёный
absurd	?:абсурдный
absurdism	?:абсурди́зм
absurdist	?:абсурди́стский
absurdistan	?:Абсурдистан
absurdity	?:абсу́рд
abugida	?:абуги́да
abuja	?:Абу́джа
abuladze	?:Абула́дзе
abulia	?:абули́я
abundance	?:обилие
abundant	?:изоби́лующий
abundantly	?:изоби́льно
abuse	?:брань
abusive	?:бра́нный
abut	?:грани́чить
abuttal	?:грани́ца
abuzz	?:гудя́щий
abydos	?:А́бидос
abysmal	?:бездо́нный
abyss	?:бездна
abyssal	?:абисса́льный
abyssinia	?:Абисси́ния
abyssinian	?:абисси́нский
abzakh	?:абадзехи
abzyme	?:абзи́м
ac	?:переме́нный ток
acacia	?:акация
academic	?:академический
academical	?:академи́ческий
academician	?:преподава́тель
academy	?:академия
acai	?:аса́и
acalculia	?:акалькули́я
acalypha	?:ака́лифа
acanthocephalan	?:акантоцефал
acanthus	?:ака́нт
acarology	?:акароло́гия
acatalasaemia	?:акаталаземи́я
acathistus	?:акафист
accede	?:присоединя́ться
accedence	?:воцаре́ние
accelerant	?:ускори́тель
accelerate	?:уско́рить
acceleration	?:ускорение
accelerator	?:газ
accelerometer	?:акселеро́метр
accent	?:штрих
accentology	?:акцентоло́гия
accentor	?:завиру́шка
accentuate	?:акценти́ровать
accentuation	?:акцентуа́ция
accept	?:принима́ть
acceptability	?:допусти́мость
acceptable	?:приемлемый
acceptance	?:получе́ние
accepted	?:принятый
acceptor	?:акцепта́нт
access	?:доступ
accessibility	?:специальные возможности
accessible	?:достижи́мый
accession	?:воцарение
accessory	?:вспомога́тельный
accident	?:ДТП
accidental	?:неожи́данный
accidentally	?:ненаме́ренно
accinge	?:подгото́виться
acclaim	?:крича́ть
acclimate	?:акклиматизи́ровать
acclimatization	?:акклиматиза́ция
acclimatize	?:акклиматизи́ровать
accolade	?:панеги́рик
accommodate	?:размести́ть
accommodating	?:приветливый
accommodation	?:жильё
accompaniment	?:сопровождение
accompanist	?:аккомпаниатор
accompany	?:аккомпанировать
accomplice	?:клевре́т
accomplish	?:заверша́ть
accomplished	?:завершённый
accomplishment	?:достиже́ние
accord	?:согла́сие
accordance	?:согла́сие
accordingly	?:соотве́тственно
accordion	?:гармо́ника
accordionist	?:аккордеони́ст
accost	?:приставать
accoucheur	?:акуше́р
accoucheuse	?:акушерка
account	?:счёт
accountability	?:компетентность
accountable	?:отве́тственный
accountancy	?:бухгалте́рия
accountant	?:отве́тчик
accounting	?:бухгалте́рия
accra	?:А́ккра
accredit	?:уполномо́чивать
accreditation	?:аккредита́ция
accretion	?:прираще́ние
accrual	?:накопле́ние
accrue	?:начислять
acculture	?:адапти́роваться
accumulate	?:аккумули́ровать
accumulation	?:накопле́ние
accumulator	?:аккумулятор
accuracy	?:точность
accurate	?:то́чный
accurately	?:то́чно
accusation	?:обвинение
accusative	?:обвини́тельный
accusatorily	?:обвини́тельно
accusatory	?:обвини́тельный
accuse	?:обвиня́ть
accused	?:обвиня́емый
accuser	?:обвини́тель
accustom	?:привы́кнуть
accustomed	?:привы́кший
ace	?:ас
aceh	?:А́чех
acehnese	?:аче́хский язы́к
acemoglu	?:Аджемоглу́
acerb	?:резкий
acerbic	?:терпкий
acerbity	?:терпкость
acerola	?:ацерола
aceso	?:Акесо
acetabulum	?:вертлу́жная впа́дина
acetamide	?:ацетамид
acetaminophen	?:парацетамо́л
acetate	?:ацетат
acetimeter	?:ацето́метр
acetone	?:ацетон
acetylation	?:ацетилирование
acetylcholine	?:ацетилхолин
acetylcholinesterase	?:ацетилхолинэстераза
acetylene	?:ацетилен
achaea	?:Аха́йя
achaemenes	?:Ахеме́н
achaemenid	?:ахемени́дский
achatina	?:ахати́на
ache	?:боль
acheiropoieton	?:Спас нерукотво́рный
achelous	?:Ахело́й
achene	?:семя́нка
acheron	?:Ахеро́н
achievable	?:достижи́мый
achieve	?:вы́полнить
achievement	?:достижение
achilleine	?:ахиллеи́н
achilles	?:Ахилл
achlys	?:Ахлис
achondrite	?:ахондри́т
achondroplasia	?:ахондроплази́я
achoo	?:апчхи
achromatism	?:ахромати́зм
achromotrichia	?:ахромотрихи́я
aciclovir	?:ациклови́р
acicular	?:остроконечный
acid	?:кислота
acidic	?:ки́слый
acidification	?:кислова́ние
acidify	?:оки́слить
acidity	?:кислотность
acidogenic	?:кислотопродуциру́ющий
acidophilic	?:ацидофильный
acidosis	?:ацидо́з
acinus	?:гроздь
acknowledge	?:призна́ть
acknowledged	?:при́знанный
acknowledgment	?:подтвержде́ние
acme	?:пик
acmeism	?:акмеи́зм
acne	?:угорь
acoetes	?:Аке́т
aconcagua	?:Аконка́гуа
aconite	?:акони́т
acorn	?:жёлудь
acoustic	?:акустический
acoustical	?:акусти́ческий
acoustics	?:акустика
acquaint	?:ознакомить
acquaintance	?:знако́мство
acquainted	?:знако́мый
acquiesce	?:соглаша́ться
acquiescence	?:[[молчаливый|молчали́вое]] [[согла́сие]]
acquire	?:приобрета́ть
acquisition	?:приобрете́ние
acquit	?:опра́вдывать
acquittal	?:оправда́ние
acrasia	?:акра́зия
acre	?:акр
acrid	?:о́стрый
acridid	?:акри́да
acrimonious	?:же́лчный
acritarch	?:акрита́рха
acrobat	?:акробат
acrobatic	?:акробатический
acrobatics	?:акроба́тика
acrobatism	?:акробати́зм
acrodont	?:акродонтный
acrogeria	?:акрогери́я
acromegaly	?:акромега́лия
acronym	?:акро́ним
acroparesthesia	?:акропарестези́я
acropetal	?:акропета́льный
acrophobia	?:акрофо́бия
acropolis	?:Акрополь
acrosome	?:акросо́ма
across	?:сквозь
acrostic	?:акростих
acryl	?:акри́л
acrylamide	?:акрилами́д
acrylonitrile	?:акрилонитри́л
act	?:вести
actaeon	?:Актео́н
acting	?:и.о.
actinium	?:актиний
actinometer	?:актино́метр
action	?:бой
actium	?:А́кций
activable	?:активируемый
activate	?:активи́ровать
activation	?:актива́ция
activator	?:активиза́тор
active	?:активный
actively	?:акти́вно
activism	?:акти́вность
activist	?:активи́ст
activity	?:активность
actor	?:актёр
actorship	?:актёрство
actress	?:актриса
actual	?:реа́льный
actually	?:факти́чески
actuary	?:актуа́рий
actuate	?:[[привести́]] в [[де́йствие]]
acuity	?:острота́
acumen	?:прозорли́вость
acupoint	?:акупункту́рная то́чка
acupressure	?:акупрессу́ра
acupuncture	?:акупункту́ра
acute	?:острый
acute-angled	?:остроуго́льный
acutely	?:о́стро
acyclic	?:ацикли́ческий
acyclicity	?:ацикли́чность
ad	?:н. э.
adachi	?:Ада́ти
adage	?:посло́вица
adagietto	?:адажие́тто
adak	?:Адак
adam	?:Адам
adamant	?:твёрдый
adamantium	?:адама́нтий
adamantly	?:непреклонно
adana	?:Адана́
adapalene	?:адапале́н
adapazarı	?:Адапазары́
adapt	?:адапти́рованный
adaptability	?:адапти́вность
adaptable	?:адапти́руемый
adaptation	?:адапта́ция
adapter	?:ада́птер
adaptive	?:адапти́вный
adaptogen	?:адаптоген
add	?:добавля́ть
add-on	?:расширение
addax	?:а́ддакс
addedly	?:доба́вочно
addend	?:слага́емое
addendum	?:дополне́ние
adder	?:гадю́ка
addict	?:приверженец
addiction	?:зави́симость
addictive	?:аддикти́вный
addition	?:сложение
additional	?:дополни́тельный
additionally	?:дополни́тельно
additive	?:аддити́вный
addle	?:ту́хлый
addled	?:проту́хший
address	?:адрес
addressee	?:адреса́т
adduce	?:представля́ть
adduct	?:адду́кт
adduction	?:адду́кция
adductor	?:приводя́щая мы́шца
adelaide	?:Аделаида
adelard	?:Аделард
adelphopoiesis	?:адельфопоэзис
aden	?:Аден
adenine	?:адени́н
adenoid	?:адено́ид
adenoidal	?:аденоидный
adenoma	?:адено́ма
adenomyosis	?:аденомиоз
adenopathy	?:аденопатия
adenosinic	?:аденози́новый
adephagan	?:адефа́г
adept	?:зна́ющий
adequate	?:адеква́тный
adequately	?:удовлетворительно
adessive	?:адесси́в
adhan	?:аза́н
adhd	?:СДВГ
adhere	?:прикле́иваться
adherence	?:сцепле́ние
adherent	?:кле́йкий
adhesion	?:адге́зия
adhesive	?:клей
adhocracy	?:адхокра́тия
adiabatic	?:адиабати́ческий
adieu	?:проща́ние
adige	?:А́дидже
adipocere	?:адипоцир
adipocyte	?:адипоци́т
adipose	?:жи́рный
adit	?:тонне́ль
aditi	?:А́дити
adjacency	?:сме́жность
adjacent	?:прилега́ющий
adjara	?:Аджа́рия
adjaran	?:аджа́рский
adjectival	?:адъекти́вный
adjective	?:прилагательное
adjika	?:аджи́ка
adjoin	?:грани́чить
adjoining	?:прилега́ющий
adjourn	?:откла́дывать
adjournment	?:заде́ржка
adjudicate	?:суди́ть
adjudicator	?:арби́тр
adjunct	?:дополнительный
adjuration	?:торжественная клятва
adjust	?:настра́ивать
adjustment	?:настро́йка
adjutant	?:адъютант
adjuvanto	?:Адьюванто
admin	?:сисадми́н
administer	?:управля́ть
administration	?:администра́ция
administrative	?:административный
administrator	?:управля́ющий
admirable	?:восхити́тельный
admirably	?:превосхо́дно
admiral	?:адмирал
admiralty	?:адмиралте́йство
admiration	?:восто́рг
admire	?:восторга́ться
admirer	?:обожа́тель
admissible	?:допусти́мый
admission	?:приём
admit	?:допуска́ть
admittedly	?:по о́бщему призна́нию
admonish	?:наставля́ть
admonishment	?:указание
admonition	?:замеча́ние
admonitory	?:предостерега́ющий
adnomination	?:адномина́ция
ado	?:затруднение
adobe	?:сама́н
adolescence	?:мо́лодость
adolescent	?:подростко́вый
adolph	?:Адо́льф
adonai	?:Адона́й
adonis	?:Адонис
adopt	?:усвоить
adoptee	?:приёмный ребёнок
adoption	?:усыновле́ние
adoptive	?:приёмный
adorable	?:ми́лый
adoration	?:поклоне́ние
adore	?:обожать
adorn	?:укра́сить
adposition	?:послело́г
adrenalectomy	?:адреналэктоми́я
adrenaline	?:адреналин
adrenalinic	?:адренали́новый
adria	?:А́дрия
adrian	?:Адриа́н
adrianople	?:Адриано́поль
adriatic	?:адриати́ческий
adscript	?:крепостно́й
adsorb	?:адсорби́ровать
adsorption	?:адсорбция
adstratum	?:адстра́т
adulate	?:низкопокло́нничать
adulation	?:ле́сть
adulator	?:льстец
adult	?:взрослый
adulterate	?:по́ртить
adulterer	?:прелюбоде́й
adulteress	?:прелюбоде́йка
adulterous	?:блу́дный
adultery	?:прелюбодея́ние
adulthood	?:взро́слость
adumbrate	?:наброса́ть
advance	?:заём
advanced	?:передово́й
advancement	?:прогре́сс
advantage	?:преиму́щество
advantageous	?:благоприя́тный
advantageously	?:вы́годно
advection	?:адве́кция
advent	?:применение
adventism	?:адвенти́зм
adventist	?:адвенти́ст
adventitious	?:вне́шний
adventure	?:приключение
adventurer	?:авантюри́ст
adventuress	?:авантюристка
adventurism	?:авантюризм
adventurous	?:авантюристи́чный
adverb	?:наречие
adverbial	?:наре́чный
adversary	?:сопе́рник
adverse	?:вражде́бный
adversity	?:несчастье
advertise	?:извеща́ть
advertisement	?:рекла́ма
advertiser	?:рекламода́тель
advertising	?:рекла́ма
advice	?:сове́т
advise	?:сове́товать
advisor	?:консульта́нт
advisory	?:совеща́тельный
advocaat	?:адвока́т
advocacy	?:адвока́тство
advocate	?:защи́тник
adware	?:рекламная программа
adygea	?:Республика Адыгея
adygeysk	?:Адыге́йск
adyghe	?:адыге́йский
adynaton	?:адинато́н
adytum	?:адитон
adze	?:тесло́
adıyaman	?:Адыяма́н
aechmea	?:эхме́я
aedile	?:эди́л
aegean	?:эгейский
aegeus	?:Эгей
aegidius	?:Эги́дий
aegina	?:Эги́на
aegipan	?:эгипан
aegis	?:руководство
aeka	?:Аэка
aelita	?:Аэли́та
aeneas	?:Эней
aeneid	?:Энеи́да
aeolian	?:эо́ловый
aeolus	?:Эо́л
aeonium	?:эо́ниум
aerial	?:атмосфе́рный
aero-	?:аэро-
aeroallergen	?:аэроаллерген
aerobic	?:аэро́бный
aerobics	?:аэро́бика
aerobiology	?:аэробиоло́гия
aerodrome	?:аэродром
aerodynamic	?:аэродинамический
aerodynamics	?:аэродинамика
aeroflot	?:Аэрофло́т
aerogel	?:аэроге́ль
aerogram	?:радиогра́мма
aerography	?:аэрография
aerolite	?:аэроли́т
aerology	?:аэроло́гия
aerometer	?:аэро́метр
aerometry	?:аэроме́трия
aeronautics	?:воздухопла́вание
aerosol	?:аэрозо́ль
aerospace	?:возду́шно-косми́ческий
aerostat	?:аэростат
aerotropism	?:аэротропизм
aesacus	?:Э́сак
aeschines	?:Эсхин
aeschylus	?:Эсхил
aesculapius	?:Эскула́п
aesop	?:Эзоп
aesopian	?:эзо́пов
aesthesia	?:восприя́тие
aesthete	?:эсте́т
aesthetic	?:эстетический
aestheticism	?:эстети́зм
aesthetics	?:эстетика
aestivation	?:эстива́ция
aether	?:Эфи́р
aetiology	?:этиоло́гия
aetius	?:Аэ́тий
aetolia	?:Это́лия
aew	?:ДРЛО
afanasy	?:Афана́сий
afar	?:афа́рский
affable	?:приве́тливый
affair	?:связь
affect	?:аффе́кт
affectation	?:неесте́ственность
affected	?:вы́чурный
affection	?:эмоция
affectionate	?:лю́бящий
affective	?:эмоциона́льный
affenpinscher	?:аффенпи́нчер
afferent	?:афферентный
affiance	?:обруча́ться
affidavit	?:аффидави́т
affiliate	?:присоедини́ться
affiliation	?:связь
affine	?:аффи́нный
affinity	?:бли́зость
affirm	?:подтверждать
affirmation	?:подтверждение
affirmative	?:утверди́тельный
affix	?:аффикс
affixoid	?:аффиксо́ид
afflict	?:мучать
affliction	?:боль
affluence	?:бога́тство
affluent	?:вливаться
affogato	?:аффогато
afford	?:позволить
affordable	?:досту́пный
afforestation	?:лесонасаждение
affreightment	?:фрахтова́ние
affricate	?:аффрика́та
affrication	?:аффрикация
affront	?:оскорбление
affusion	?:облива́ние
afghan	?:афганский
afghani	?:афга́ни
afghanistan	?:Афганистан
afield	?:за́ ра́мками
aflame	?:в огне́
aflatoxin	?:афлатокси́н
afloat	?:пла́вающий
afoot	?:в движении
aforelisted	?:вышеперечи́сленный
aforementioned	?:вышеска́занный
aforesaid	?:вышеска́занный
afoul	?:напереко́р
afraid	?:бояться
afresh	?:заново
africa	?:Африка
african	?:африканский
african-american	?:афроамериканский
africanist	?:африкани́ст
africanization	?:африканиза́ция
afrikaans	?:африка́анс
afrikaner	?:африка́ндер
afro	?:а́фро
afro-	?:а́фро-
afro-eurasia	?:А́фро-Евра́зия
afroasiatic	?:афрази́йский
afrobeat	?:афробит
afrophobia	?:афрофо́бия
afsharid	?:афшари́дский
aftcastle	?:ахтерка́стель
after	?:за
afterbirth	?:после́д
afterbrain	?:за́дний мозг
afterburner	?:дожига́тель
aftergrass	?:отава
afterlife	?:загро́бная жизнь
aftermath	?:после́дствие
afternoon	?:пополу́дни
afterpeak	?:ахтерпи́к
aftersale	?:послепрода́жный
aftershave	?:гель
aftershock	?:а́фтершок
aftertaste	?:послевку́сие
afterthought	?:[[запоздалый|запозда́лая]] мысль
afterwards	?:после
afterword	?:послесло́вие
afterworld	?:загро́бный мир
afu	?:ВСУ
afyonkarahisar	?:Афьонкарахисар
aga	?:Ага́
again	?:снова
against	?:на
agama	?:ага́ма
agamemnon	?:Агамемнон
agami	?:сероспи́нный труба́ч
agape	?:ошеломлённый
agar	?:ага́р-ага́р
agarak	?:Агара́к
agarose	?:агаро́за
agartala	?:Ага́ртала
agarwood	?:каламба́к
agassi	?:Ага́сси
agastya	?:Ага́стья
agate	?:агат
agatha	?:Ага́та
agathodaemon	?:агатоде́мон
agave	?:агава
agdam	?:Агда́м
age	?:год
age-mate	?:одного́дка
ageism	?:эйджи́зм
agency	?:агентство
agenda	?:план
agenor	?:Агено́р
agent	?:агент
ageusia	?:агевзия
aggiornamento	?:обновле́ние
agglomeration	?:агломера́ция
agglutination	?:агглютина́ция
agglutinative	?:кле́йкий
aggravate	?:ухудшать
aggregate	?:масса
aggregation	?:скопле́ние
aggregator	?:агрегатор
aggression	?:агрессия
aggressive	?:агрессивный
aggressively	?:агресси́вно
aggressiveness	?:агрессивность
aggressor	?:агрессор
aggro	?:а́грить
agha	?:ага́
aghast	?:ошеломлённый
aghayan	?:Агая́н
aghori	?:агхо́ра
aghul	?:агу́лы
agile	?:ги́бкий
agility	?:ло́вкость
aging	?:старе́ющий
aginskoye	?:Аги́нское
agitation	?:возбужде́ние
agitator	?:агитатор
agitprop	?:агитпро́п
aglaia	?:Аглая
aglow	?:сияющий
agnate	?:единокро́вный
agnatic	?:агна́тный
agnes	?:Агнес
agni	?:Агни́
agnostic	?:агностик
agnosticism	?:агностицизм
agnotology	?:агнотология
ago	?:наза́д
agonic	?:агонический
agonizing	?:мучительный
agony	?:агония
agoraphobia	?:агорафо́бия
agorism	?:агоризм
agouti	?:агу́ти
agra	?:А́гра
agranulocytosis	?:агранулоцитоз
agrarian	?:аграрий
agree	?:согласи́ться
agreeable	?:прия́тный
agreeably	?:прия́тно
agreed	?:соглашаться
agreement	?:договорённость
agri-food	?:а̀гропродово́льствие
agribusiness	?:агроби́знес
agricultural	?:агра́рный
agriculturalism	?:аграри́зм
agriculture	?:агрикульту́ра
agrigento	?:Агридже́нто
agrimi	?:кри-кри
agrimony	?:репешо́к
agrinio	?:Агри́нион
agrippa	?:Агри́ппа
agrobiology	?:агробиоло́гия
agrochemical	?:агрохими́ческий
agrochemist	?:агрохи́мик
agrochemistry	?:агрохимия
agroecological	?:агроэкологи́ческий
agroecology	?:агроэколо́гия
agroforestry	?:агролесово́дство
agrogorod	?:агрого́род
agronomist	?:агроном
agronomy	?:агроно́мия
agrypnia	?:агрипни́я
aguascalientes	?:Агуаскалье́нтес
ague	?:лихора́дка
ah	?:ага́
aha	?:ага́
ahab	?:Аха́в
ahalya	?:Аха́лья
ahasuerus	?:Артаксе́кс
ahead	?:вперёд
ahistorical	?:антиистори́ческий
ahistorically	?:антиистори́чески
ahmadi	?:ахмади́
ahmadiyya	?:ахмадие́
ahmed	?:Ахма́д
ahmedabad	?:Ахмадаба́д
ahnenerbe	?:анене́рбе
ahold	?:захва́т
ahoy	?:эй!
ahriman	?:А́нгра-Ма́йнью
ai	?:ИИ
aibohphobia	?:яибофо́бия
aichi	?:А́йти
aid	?:по́мощь
aida	?:Аи́да
aidan	?:А́йдан
aide-de-camp	?:адъюта́нт
aidi	?:аи́ди
aidos	?:А́йдос
aids	?:СПИД
aigaleo	?:Эга́лео
aiglet	?:писто́нчик
aiguillette	?:аксельба́нт
aigun	?:Айгунь
aihui	?:Айхуэй
aikido	?:айкидо
ail	?:беспоко́ить
ailanthus	?:айлант
aileron	?:элеро́н
ailment	?:боле́знь
ailuro-	?:айлу́ро-
ailurophobia	?:айлурофо́бия
aim	?:цель
aimbot	?:аимбот
aimless	?:бесце́льный
aimlessly	?:бесце́льно
aimlessness	?:бесце́льность
ainu	?:а́йну
aion	?:Эо́н
air	?:вид
air-to-air	?:во́здух-во́здух
air-to-ground	?:во́здух-земля́
air-to-surface	?:во́здух-земля́
airan	?:айра́н
airavata	?:Айрава́та
airbag	?:подушка безопасности
airbus	?:Аэро́бус
aircraft	?:самолёт
airfare	?:[[сто́имость]] [[авиабилет|авиабиле́та]]
airfield	?:аэродро́м
airfoil	?:аэродинамический профиль
airhead	?:ду́рочка
airless	?:безвозду́шный
airlift	?:воздушная перевозка
airline	?:авиакомпа́ния
airliner	?:авиала́йнер
airlock	?:шлюз
airmail	?:авиапо́чта
airman	?:лётчик
airmass	?:масса воздуха
airplane	?:самолёт
airport	?:аэропорт
airshaft	?:вентиляцио́нная ша́хта
airside	?:стери́льная зо́на
airsoft	?:страйкбо́л
airspace	?:воздушное пространство
airtight	?:воздухонепроница́емый
airtime	?:эфи́рное вре́мя
airway	?:возду́шная тра́сса
airworthiness	?:лётная го́дность
aisha	?:Айша
aishwarya	?:Айшвария
aisle	?:приде́л
aitch	?:ха
aizawl	?:Аиджа́л
aizpute	?:А́йзпуте
ajaccio	?:Аяччо
ajapsandali	?:аджапсанда́ли
ajar	?:приоткры́тый
ajax	?:Ая́кс
ajwain	?:ажго́н
ak-47	?:АК-47
akan	?:ака́н
akanye	?:а́канье
akathist	?:ака́фист
akhalkalaki	?:Ахалкала́ки
akhaltsikhe	?:Ахалицихе
akhenaten	?:Эхнато́н
akhetaten	?:Ахетато́н
akhirah	?:ахира́т
akhund	?:аху́н
akhuryan	?:Ахуря́н
akimbo	?:подбоче́нившись
akin	?:подо́бный
akinete	?:акинет
akita	?:А́кита
akkad	?:Акка́д
akkadian	?:акка́дский
aklanon	?:акланон
aknīste	?:А́книсте
akshay	?:Акшай
aksum	?:Аксум
aktau	?:Акта́у
akutagawa	?:Акутага́ва
al-andalus	?:Аль-А́ндалус
al-nassr	?:Ан-Наср
al-qaeda	?:Аль-Ка́ида
al-raqqah	?:Ра́кка
ala	?:весло́
alabama	?:Алабама
alabaster	?:алебастр
alack	?:увы́
alacrity	?:гото́вность
aladdin	?:Аладди́н
alagoas	?:Алаго́ас
alakananda	?:Алакна́нда
alala	?:Алала́
alalia	?:ала́лия
alan	?:ала́н
alania	?:Ала́ния
alanic	?:ала́нский
alanine	?:алани́н
alaric	?:Ала́рих
alarm	?:страх
alarmism	?:аларми́зм
alarmist	?:аларми́ст
alas	?:ах
alaska	?:Аляска
alaverdi	?:Алаверди́
alazani	?:Алаза́ни
alb	?:альба
alba	?:А́лба
albacore	?:альбако́р
